game,team,player,game_id,player_id,reason,status
2023-05-18 Nashville SC-Inter Miami CF,Nashville SC,Nick DePuy,1701859,334518,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Nashville SC,Randall Leal,1701859,393102,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Portland Timbers,David Ayala,1701862,389242,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Portland Timbers,Eryk Williamson,1701862,358518,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Portland Timbers,Felipe Mora,1701862,393150,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Real Salt Lake,Anderson Julio,1701862,329226,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Real Salt Lake,Bode Hidalgo,1701862,425148,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Real Salt Lake,Erik Holt,1701862,371974,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Real Salt Lake,Jasper Löffelsend,1701862,433621,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Real Salt Lake,Tomás Gómez,1701862,433620,injured,Out
2023-05-18 Real Salt Lake-Portland Timbers,Real Salt Lake,Zack Farnsworth,1701862,448622,injured,Out
2023-05-18 Seattle Sounders FC-Austin FC,Austin FC,Diego Fagundez,1701849,99292,injured doubtful,Doubtful
2023-05-18 Seattle Sounders FC-Austin FC,Austin FC,Zan Kolmanic,1701849,412162,injured,Out
2023-05-18 Seattle Sounders FC-Austin FC,Seattle Sounders FC,Cristian Roldan,1701849,271592,injured doubtful,Doubtful
2023-05-18 Seattle Sounders FC-Austin FC,Seattle Sounders FC,Jacob Castro,1701849,468751,injured,Out
2023-05-18 Seattle Sounders FC-Austin FC,Seattle Sounders FC,Nouhou Tolo,1701849,335583,injured doubtful,Doubtful
2023-05-18 Seattle Sounders FC-Austin FC,Seattle Sounders FC,Raúl Ruidíaz,1701849,85915,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Charlotte FC,Ben Bender,1701827,433529,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Charlotte FC,George Marks,1701827,433530,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Charlotte FC,Guzmán Corujo,1701827,433524,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Charlotte FC,Kamil Józwiak,1701827,312752,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Charlotte FC,Kerwin Vargas,1701827,438986,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Charlotte FC,McKinze Gaines,1701827,346839,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Nashville SC,Nick DePuy,1701827,334518,injured,Out
2023-05-20 Charlotte FC-Nashville SC,Nashville SC,Walker Zimmerman,1701827,126914,injured,Out
2023-05-20 DC United-LA Galaxy,DC United,Brendan Hines-Ike,1701831,320457,injured,Out
2023-05-20 DC United-LA Galaxy,DC United,Martín Rodríguez,1701831,101584,injured,Out
2023-05-20 DC United-LA Galaxy,DC United,Nigel Robertha,1701831,316933,injured,Out
2023-05-20 DC United-LA Galaxy,DC United,Pedro Santos,1701831,121356,injured,Out
2023-05-20 DC United-LA Galaxy,DC United,Steven Birnbaum,1701831,143470,injured,Out
2023-05-20 DC United-LA Galaxy,LA Galaxy,Jonathan Bond,1701831,81979,injured,Out
2023-05-20 FC Cincinnati-Columbus Crew,Columbus Crew,Cucho Hernández,1701829,362501,injured,Out
2023-05-20 FC Cincinnati-Columbus Crew,Columbus Crew,Eloy Room,1701829,67114,injured,Out
2023-05-20 FC Cincinnati-Columbus Crew,Columbus Crew,Josh Williams,1701829,99318,injured,Out
2023-05-20 FC Cincinnati-Columbus Crew,Columbus Crew,Kevin Molino,1701829,138492,injured,Out
2023-05-20 FC Cincinnati-Columbus Crew,Columbus Crew,Luis Díaz,1701829,378710,injured,Out
2023-05-20 FC Cincinnati-Columbus Crew,FC Cincinnati,Santiago Arias,1701829,88112,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Inter Miami CF,Edison Azcona,1701833,413765,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Inter Miami CF,Gregore,1701833,355710,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Inter Miami CF,Ian Fray,1701833,445274,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Inter Miami CF,Leonardo Campana,1701833,392650,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Inter Miami CF,Noah Allen,1701833,433513,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Inter Miami CF,Robbie Robinson,1701833,393147,injured,Out
2023-05-20 Inter Miami CF-Orlando City,Orlando City,Michael Halliday,1701833,402978,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,CF Montreal,George Campbell,1701874,393107,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,CF Montreal,James Pantemis,1701874,354094,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,CF Montreal,Matko Miljevic,1701874,366429,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,CF Montreal,Romell Quioto,1701874,334513,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,CF Montreal,Samuel Piette,1701874,117112,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,New York Red Bulls,Lewis Morgan,1701874,364232,injured,Out
2023-05-20 New York Red Bulls-CF Montreal,New York Red Bulls,Serge Ngoma,1701874,433519,injured,Out
2023-05-20 Philadelphia Union-New England Revolution,New England Revolution,Jacob Jackson,1701834,433537,injured,Out
2023-05-20 Philadelphia Union-New England Revolution,New England Revolution,Nacho Gil,1701834,300779,injured,Out
2023-05-20 Philadelphia Union-New England Revolution,New England Revolution,Tommy McNamara,1701834,143557,injured,Out
2023-05-21 Austin FC-Toronto FC,Austin FC,Sebastián Driussi,1701872,140601,injured,Out
2023-05-21 Austin FC-Toronto FC,Austin FC,Zan Kolmanic,1701872,412162,injured,Out
2023-05-21 Austin FC-Toronto FC,Toronto FC,Adama Diomande,1701872,243562,injured doubtful,Doubtful
2023-05-21 Austin FC-Toronto FC,Toronto FC,Jahkeele Marshall-Rutty,1701872,396332,suspended,Out
2023-05-21 Austin FC-Toronto FC,Toronto FC,Jonathan Osorio,1701872,127148,injured,Out
2023-05-21 Austin FC-Toronto FC,Toronto FC,Jordan Perruzza,1701872,413700,injured,Out
2023-05-21 Austin FC-Toronto FC,Toronto FC,Matt Hedges,1701872,112024,injured,Out
2023-05-21 Austin FC-Toronto FC,Toronto FC,Michael Bradley,1701872,22825,injured doubtful,Doubtful
2023-05-21 Austin FC-Toronto FC,Toronto FC,Shane O'Neill,1701872,115049,injured doubtful,Doubtful
2023-05-21 Austin FC-Toronto FC,Toronto FC,Sigurd Rosted,1701872,320955,injured,Out
2023-05-21 Austin FC-Toronto FC,Toronto FC,Víctor Vázquez,1701872,35667,injured,Out
2023-05-21 Chicago Fire FC-Atlanta United,Atlanta United,Brad Guzan,1701836,28746,injured,Out
2023-05-21 Chicago Fire FC-Atlanta United,Atlanta United,Osvaldo Alonso,1701836,72567,injured,Out
2023-05-21 Chicago Fire FC-Atlanta United,Chicago Fire FC,Justin Reynolds,1701836,471853,injured,Out
2023-05-21 Chicago Fire FC-Atlanta United,Chicago Fire FC,Victor Bezerra,1701836,434642,injured,Out
2023-05-21 Colorado Rapids-Real Salt Lake,Colorado Rapids,Aboubacar Keita,1701835,377604,injured,Out
2023-05-21 Colorado Rapids-Real Salt Lake,Colorado Rapids,Abraham Rodriguez,1701835,426072,injured,Out
2023-05-21 Colorado Rapids-Real Salt Lake,Colorado Rapids,Cole Bassett,1701835,361862,injured doubtful,Doubtful
2023-05-21 Colorado Rapids-Real Salt Lake,Colorado Rapids,Jack Price,1701835,105891,injured,Out
2023-05-21 Colorado Rapids-Real Salt Lake,Real Salt Lake,Marcelo Silva,1701835,51017,injured,Out
2023-05-21 Colorado Rapids-Real Salt Lake,Real Salt Lake,Zack Farnsworth,1701835,448622,injured,Out
2023-05-21 FC Dallas-Houston Dynamo FC,FC Dallas,Geovane Jesus,1701838,467998,injured,Out
2023-05-21 FC Dallas-Houston Dynamo FC,FC Dallas,Paul Arriola,1701838,132631,injured,Out
2023-05-21 FC Dallas-Houston Dynamo FC,FC Dallas,Sebastian Lletget,1701838,122132,injured,Out
2023-05-21 FC Dallas-Houston Dynamo FC,FC Dallas,Tarik Scott,1701838,474793,injured,Out
2023-05-21 FC Dallas-Houston Dynamo FC,Houston Dynamo FC,Erik Sviatchenko,1701838,71565,injured,Out
2023-05-21 FC Dallas-Houston Dynamo FC,Houston Dynamo FC,Ifunanyachi Achara,1701838,393390,injured,Out
